name,required_age,is_free,short_description,supported_languages,header_image,website,ratings,categories,genre1,genre2,genre3,genre4,genre5,genres6,genres7
age of empires ii 2013,15,False,"Age of Empires II has been re-imagined in high definition with new features, trading cards, improved AI, workshop support, multiplayer, Steamworks integration and more!","English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Dutch, Portuguese - Brazils ",https://cdn.akamai.steamstatic.com/steam/apps/221380/header.jpg?t=1667261666,https://www.ageofempires.com/games/aoeii/,5,Multiplayer,Strategy,,,,,,
age of empires ii definitive edition,10,False,"Age of Empires II: Definitive Edition features “The Last Khans” with 3 new campaigns and 4 new Civilizations. Frequent updates include events, additional content, new game modes, and enhanced features with the recent addition of Co-Op mode!","English, French, Italian, German, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Vietnamese, Spanish - Spain, Polish, Hindi, Malays ",https://cdn.akamai.steamstatic.com/steam/apps/813780/header.jpg?t=1688658568,https://www.ageofempires.com/games/aoeiide/,8,Multiplayer,Strategy,,,,,,
age of empires iv anniversary edition,10,False,"Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.","English, French, German, Italian, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Vietnamese, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Norwegian, Polish, Portuguese - Portugal, Swedish, Hindis ",https://cdn.akamai.steamstatic.com/steam/apps/1466860/header.jpg?t=1686844705,https://www.ageofempires.com/,7,Multiplayer,Strategy,,,,,,
age of history ii,10,False,"Age of History II is a grand strategy wargame that is simple to learn yet hard to master.Your objective is to use military tactics and cunning diplomacy to either unify the world, or conquer it.Will the world bleed out or bow before you? The choice is yours..","English, German, Dutch, Russian, Greek, Polish, Romanian, Czech, Italian, Hungarian, French, Spanish - Spain, Turkish, Portuguese - Portugal, Korean, Traditional Chinese, Japanese, Portuguese - Brazil, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/603850/header.jpg?t=1666987848,http://ageofhistorygame.com,9,Multiplayer,Strategy,,,,,,
age of mythology extended edition,15,False,"Age of Mythology is back! Choose your god and take to the battlefield in this classic, upgraded with full Steamworks integration and enhanced features.","English, French, German, Italian, Spanish - Spain, Japanese, Korean, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/266840/header.jpg?t=1667261670,https://www.ageofempires.com/games/aom/,5,Multiplayer,Simulation,Strategy,,,,,
age of wonders iii,15,False,"Age of Wonders III is the long anticipated sequel to the award-winning strategy series. Delivering a unique mix of Empire Building, Role Playing and Warfare, Age of Wonders III offers the ultimate in turn-based fantasy strategy for veterans of the series and new players alike!","English, German, French, Polish, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/226840/header.jpg?t=1683014870,http://ageofwonders.com,7,Multiplayer,RPG,Strategy,,,,,
airmech strike,15,True,AirMech® Strike is a fast paced Action-RTS game that can be played online competitively or cooperatively. Earn Kudos and Experience in battle and unlock a wide collection of AirMechs and Units while you practice the perfect strategy to emerge victorious!,"English, German, French, Italian, Spanish - Spain, Russian, Polish, Dutch, Finnish, Swedish, Czech, Portuguese - Brazil, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/206500/header.jpg?t=1652486045,http://airmech.com,8,Multiplayer,Action,Free to Play,Indie,Strategy,,,
alan wake,18,False,"A Dark Presence stalks the small town of Bright Falls, pushing Alan Wake to the brink of sanity in his fight to unravel the mystery and save his love.","English, German, French, Italian, Korean, Spanish - Spain, Russian, Japanese, Polish, Traditional Chinese, Spanish - Latin Americas ",https://cdn.akamai.steamstatic.com/steam/apps/108710/header.jpg?t=1667485381,http://www.alanwake.com,8,Singleplayer,Action,Adventure,,,,,
alan wake's american nightmare,18,False,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!","English, German, French, Italian, Spanish - Spain, Japanese, Czech, Hungarian, Polish, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/202750/header.jpg?t=1667485610,http://www.alanwake.com,6,Singleplayer,Action,Adventure,,,,,
albion online,10,True,"Albion Online is a fantasy sandbox MMORPG featuring a player-driven economy, classless combat system, and intense PvP battles. Explore a vast open world full of danger and opportunity. Grow your wealth, forge alliances, and leave your mark on the world of Albion.","English, French, German, Spanish - Spain, Portuguese - Brazil, Polish, Russian, Portuguese - Portugal, Spanish - Latin America, Korean, Simplified Chinese, Italian, Japanese, Traditional Chinese, Indonesians ",https://cdn.akamai.steamstatic.com/steam/apps/761890/header.jpg?t=1685689986,https://albiononline.com,6,Multiplayer,Free to Play,Massively Multiplayer,RPG,,,,
alice madness returns,15,False,"Alice: Madness Returns is a third-person, single-player, action adventure platformer. Visit the grim reality of Victorian London and travel to the beautiful yet ghastly Wonderland to uncover the root of Alice's madness.","English, French, German, Italian, Japanese, Spanish - Spains ",https://cdn.akamai.steamstatic.com/steam/apps/19680/header.jpg?t=1655743771,http://www.ea.com/alice,6,Singleplayer,Action,Adventure,,,,,
alien isolation,18,False,"Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger.","English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian, Portuguese - Brazils ",https://cdn.akamai.steamstatic.com/steam/apps/214490/header.jpg?t=1668768027,http://www.alienisolation.com,7,Singleplayer,Action,,,,,,
alien swarm,15,True,Co-operative multiplayer game and complete code base available for free.,English,https://cdn.akamai.steamstatic.com/steam/apps/630/header.jpg?t=1677106170,http://www.alienswarm.com,7,Multiplayer,Action,,,,,,
alien swarm reactive drop,18,True,Co-operative top-down shooter game available for free. An epic bug hunt featuring a unique blend of co-op play and squad-level tactics.,"English, French, German, Italian, Spanish - Spain, Korean, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Ukrainian, Vietnamese, Japanese, Portuguese - Brazils ",https://cdn.akamai.steamstatic.com/steam/apps/563560/header.jpg?t=1689617349,https://reactivedrop.com,8,Multiplayer,Action,Free to Play,,,,,
aliens colonial marines collection,18,False,"You &amp; your friends are the deadliest killers in the galaxy – the US Colonial Marines. It’s up to you to not just survive, but wipe out the Xeno infestation.","English, French, German, Italian, Polish, Russian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/49540/header.jpg?t=1603126880,http://www.sega.com/alienscolonialmarines,1,Multiplayer,Action,,,,,,
aliens fireteam elite,10,False,"Aliens: Fireteam Elite is a cooperative third-person survival game set in the iconic Alien Universe. Battle through hordes of different types of Xenomorph, customize your character and gear, and level-up as you try to contain this ever-growing threat.","English, French, Italian, German, Portuguese - Brazil, Russian, Czech, Polish, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Koreans ",https://cdn.akamai.steamstatic.com/steam/apps/1549970/header.jpg?t=1680289447,http://www.aliensfireteamelite.com,8,Multiplayer,Action,RPG,,,,,
aliens vs. predator ,18,False,"Survive, hunt and prey in the deadly jungles and swamps in distinctly new and thrilling first person gameplay.","English, French, German, Italian, Russian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/10680/header.jpg?t=1603127038,http://www.sega.com/avp,5,Multiplayer,Action,,,,,,
america's army proving grounds,18,True,America’s Army: Proving Grounds is the official game of the U.S. Army and part of the highly acclaimed America’s Army game series. This free military game focuses on small unit tactical maneuvers and puts you to the test in a wide variety of new America’s Army maps and AA fan favorites.,English,https://cdn.akamai.steamstatic.com/steam/apps/203290/header.jpg?t=1604338987,http://americasarmy.com/aapg,8,Multiplayer,Action,Free to Play,,,,,
american truck simulator,15,False,"Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.","English, French, German, Italian, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Swedish, Turkish, Ukrainian, Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1687514005,https://americantrucksimulator.com/,6,Multiplayer,Indie,Simulation,,,,,
amid evil,18,False,A retro FPS for the ages! Once branded a HERETIC. Now YOU have been chosen as our champion! Reclaim our sacred weapons. Take back our ancient lands. If you can stand... AMID EVIL.,English,https://cdn.akamai.steamstatic.com/steam/apps/673130/header.jpg?t=1681925568,https://www.NewBlood.games,8,Singleplayer,Action,Adventure,Indie,,,,
amnesia a machine for pigs,18,False,"From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed, power and madness. It will bury its snout into your ribs and it will eat your heart.","English, French, German, Italian, Spanish - Spain, Czech, Hungarian, Polish, Portuguese - Brazil, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/239200/header.jpg?t=1685698932,http://www.aamfp.com,6,Singleplayer,Action,Adventure,Indie,,,,
amnesia the dark descent,15,False,"Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.","English, French, German, Italian, Spanish - Spain, Russian, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/57300/header.jpg?t=1685699016,http://www.amnesiagame.com,8,Singleplayer,Action,Adventure,Indie,,,,
among us,15,False,An online and local party game of teamwork and betrayal for 4-15 players...in space!,"English, Portuguese - Brazil, Spanish - Latin America, Spanish - Spain, Korean, Russian, French, Italian, German, Dutch, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/945360/header.jpg?t=1684189647,http://innersloth.com/gameAmongUs.php,8,Multiplayer,Casual,,,,,,
apb reloaded,10,True,"The world’s first and premier Action MMO Third Person Shooter allows you to choose between two sides of the law. Play as Enforcer or Criminal, customize your gear for the task at hand and hit the streets and play how you want in a city filled with more action this side of a Hollywood blockbuster.",English,https://cdn.akamai.steamstatic.com/steam/apps/113400/header_alt_assets_2.jpg?t=1688790038,http://www.gamersfirst.com/apb,8,Multiplayer,Action,Free to Play,Massively Multiplayer,,,,
archeage,10,True,Play ArcheAge - A vast open-world sandbox MMORPG with everything you can possibly imagine.,"English, French, German",https://cdn.akamai.steamstatic.com/steam/apps/304030/header.jpg?t=1671113328,https://archeage.playkakaogames.com/,7,Multiplayer,Free to Play,Massively Multiplayer,RPG,,,,
archeblade ,10,True,ArcheBlade is a free to play 3D multiplayer fighting game that captures the essence of combo-based fighting games combined with unique game modes. Play as one of many characters and master your skills to become the best fighter.,English,https://cdn.akamai.steamstatic.com/steam/apps/207230/header.jpg?t=1447355405,http://www.codebrush.net/,8,Multiplayer,Action,Free to Play,Indie,,,,
argo,15,False,"Jump straight into combat in this official standalone FREE total conversion of Arma 3. Argo is a hardcore tactical first-person shooter, in which you fight across unrestricted terrain, and where a single bullet is all it takes. Master your craft to rank up and become (in)famous on the battlefield.","English, French, German, Czech, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/530700/header.jpg?t=1639427268,https://www.projectargo.net/,8,Multiplayer,Action,Free to Play,,,,,
ark the survival of the fittest,15,False,"ARK: The Survival of the Fittest is a prototype spin-off of ARK: Survival Evolved, pitting up to 60 combatants against each other in a fast-paced, action-packed struggle for survival, where players are ultimately pushed into an epic final showdown leading their Dinosaur Armies into battle.","English, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Swedish, Thai, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/407530/header.jpg?t=1671847794,http://www.playark.com,6,Multiplayer,Action,Adventure,Indie,Massively Multiplayer,RPG,Strategy,
arma 2,15,False,"Building on 10 years of constant engine development, ARMA II boasts the most realistic combat environment in the world. It models real world ballistics &amp; round deflection, materials penetration, features a realtime day/night cycle and dynamic wind, weather and environmental effects.",English,https://cdn.akamai.steamstatic.com/steam/apps/33900/header.jpg?t=1644583779,http://www.arma2.com,7,Multiplayer,Action,Simulation,Strategy,,,,
arma 2 operation arrowhead,15,False,"Three years after the conflict in Chernarus, portrayed in the original Arma 2, a new flashpoint explodes in the Green Sea Region. Coalition forces led by the US Army are deployed to Takistan to quickly restore peace and prevent further civilian casualties.","English, Czech, French, Italian, Spanish - Spain, German, Polish, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/33930/header.jpg?t=1644841431,http://www.arma2.com,6,Multiplayer,Action,Simulation,Strategy,,,,
arma 3,18,False,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.","English, French, German, Italian, Spanish - Spain, Czech, Polish, Portuguese - Brazil, Russian, Japanese, Korean, Simplified Chinese, Traditional Chinese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/107410/header.jpg?t=1690361841,http://www.arma3.com,6,Multiplayer,Action,Simulation,Strategy,,,,
arma cold war assault,10,False,"Bohemia Interactive's debut game published by Codemasters as Operation Flashpoint in 2001, became genre-defining combat military simulation and the No. 1 bestselling PC game around the world and has won many international awards, including “Game of The Year” and “Best Action Game”. Over 2 million copies have been sold since its release.","English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/65790/header.jpg?t=1635942495,https://www.bohemia.net/games/arma-cold-war-assault/,8,Singleplayer,Action,Simulation,Strategy,,,,
art of war red tides,16,True,"Art of War: Red Tides is a fair multiplayer strategy game that allows different teams on the same platform (e.g. smartphones, PC, etc.) to battle against each other. You will encounter players around the world!","Simplified Chinese, English, Russian, Portuguese - Portugal, Portuguese - Brazil, German, Spanish - Spain, French, Italian, Traditional Chinese, Thais ",https://cdn.akamai.steamstatic.com/steam/apps/558100/header.jpg?t=1530625372,,3,Multiplayer,Violent,Free to Play,Indie,Strategy,Early Access,,
assassin's creed  director's cut edition,18,False,"Assassin's Creed™ is the next-gen game developed by Ubisoft Montreal that redefines the action genre. While other games claim to be next-gen with impressive graphics and physics, Assassin's Creed merges technology, game design, theme and emotions into a world where you instigate chaos and become a vulnerable, yet powerful, agent of...","English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/15100/header.jpg?t=1602600542,http://www.assassinscreed.com,7,Singleplayer,Action,Adventure,,,,,
assassin's creed  iii remastered,18,False,"Relive the American Revolution or experience it for the first time in Assassin's Creed® III Remastered, with enhanced graphics and improved gameplay mechanics. Also includes Assassin's Creed Liberation remastered and all solo DLC content.","English, French, German, Italian, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/911400/header.jpg?t=1682004364,,7,Singleplayer,Action,Adventure,,,,,
assassin's creed  odyssey,18,False,"Choose your fate in Assassin's Creed® Odyssey. From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece.","English, French, German, Italian, Spanish - Spain, Arabic, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/812140/header.jpg?t=1670596226,http://www.assassinscreed.com,8,Singleplayer,Action,Adventure,RPG,,,,
assassin's creed  origins,10,False,"ASSASSIN’S CREED® ORIGINS IS A NEW BEGINNING *The Discovery Tour by Assassin’s Creed®: Ancient Egypt is available now as a free update!* Ancient Egypt, a land of majesty and intrigue, is disappearing in a ruthless fight for power.","English, French, German, Italian, Spanish - Spain, Czech, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/582160/header.jpg?t=1682005718,http://assassinscreed.ubisoft.com,6,Singleplayer,Action,Adventure,RPG,,,,
assassin's creed  revelations,10,False,"Ezio Auditore walks in the footsteps of the legendary mentor Altair, on a dangerous journey of discovery and revelation.","Danish, Dutch, English, French, German, Italian, Norwegian, Polish, Portuguese - Portugal, Spanish - Spain, Swedish, Russian, Korean, Simplified Chinese, Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/201870/header.jpg?t=1687890475,http://assassinscreed.ubi.com,7,Multiplayer,Action,Adventure,,,,,
assassin's creed  syndicate,15,False,"London, 1868. In the heart of the Industrial Revolution, lead your underworld organization and grow your influence to fight those who exploit the less privileged in the name of progress","English, French, German, Italian, Spanish - Spain, Czech, Dutch, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/368500/header.jpg?t=1682006381,http://assassinscreed.ubi.com/,6,Singleplayer,Action,Adventure,,,,,
assassin's creed  unity,10,False,"Assassin’s Creed® Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation.","English, French, German, Italian, Spanish - Spain, Czech, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Dutchs ",https://cdn.akamai.steamstatic.com/steam/apps/289650/header.jpg?t=1682006890,http://www.assassinscreed.com,7,Multiplayer,Action,Adventure,,,,,
assassin's creed 2,18,False,"An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price!","English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Danish, Dutch, Korean, Swedishs ",https://cdn.akamai.steamstatic.com/steam/apps/33230/header.jpg?t=1682004272,http://www.assassinscreed.com,8,Singleplayer,Action,Adventure,,,,,
assassin’s creed  brotherhood,18,False,It’s time to join the Brotherhood.,"Danish, Dutch, English, French, German, Italian, Norwegian, Polish, Portuguese - Portugal, Spanish - Spain, Swedish, Korean, Simplified Chinese, Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/48190/header.jpg?t=1681861086,http://www.assassinscreed.com,8,Multiplayer,Action,Adventure,,,,,
assassin’s creed  iv black flag ,18,False,"The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.","English, French, German, Italian, Spanish - Spain, Czech, Danish, Dutch, Finnish, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Swedish, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/242050/header.jpg?t=1682004539,http://www.assassinscreed.com,10,Multiplayer,Action,Adventure,,,,,
assassin’s creed  rogue,15,False,"Introducing Assassin’s Creed® Rogue, the darkest chapter in the Assassin’s Creed franchise yet. As Shay, you will experience the slow transformation from Assassin to Assassin Hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North...","English, French, German, Italian, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Russian, Koreans ",https://cdn.akamai.steamstatic.com/steam/apps/311560/header.jpg?t=1682006284,http://assassinscreed.ubi.com/,6,Singleplayer,Action,Adventure,,,,,
assetto corsa,15,False,"Assetto Corsa v1.16 introduces the new &quot;Laguna Seca&quot; laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!","English, Italian, Simplified Chinese, Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/244210/header.jpg?t=1686917372,http://www.assettocorsa.net,8,Multiplayer,Indie,Racing,Simulation,Sports,,,
astroneer,18,False,A game of aerospace industry and interplanetary exploration.,"English, French, German, Italian, Spanish - Spain, Dutch, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish",https://cdn.akamai.steamstatic.com/steam/apps/361420/header.jpg?t=1689355883,http://astroneer.space,7,Multiplayer,Adventure,Indie,,,,,
atlas,15,False,"Set sail for the ultimate pirate experience! Embark on a grand adventure alongside thousands of other players in one of the largest game worlds ever built (and even claim a piece of it to call your own). Build your ship, assemble your crew, sail the high seas, and become a pirate legend!","English, Simplified Chinese, Italian, German, Russian, Traditional Chinese, Turkish, Ukrainian, French, Spanish - Spains ",https://cdn.akamai.steamstatic.com/steam/apps/834910/header.jpg?t=1668634843,http://playatlas.com,7,Multiplayer,Action,Adventure,Massively Multiplayer,RPG,Early Access,,
audiosurf,15,False,"Ride your music. Audiosurf is a music-adapting puzzle racer where you use your own music to create your own experience. The shape, the speed, and the mood of each ride is determined by the song you choose.","English, Russian",https://cdn.akamai.steamstatic.com/steam/apps/12900/header.jpg?t=1568404797,http://www.audio-surf.com/,8,Singleplayer,Indie,,,,,,
aura kingdom,15,False,"Aura Kingdom is a free-to-play Anime MMORPG featuring strong PVE elements, a uniquely detailed world, and an engaging, well-crafted story. Aura Kingdom empowers players as Envoys of Gaia, gifted individuals that take the role of one of the fifteen classes.",English,https://cdn.akamai.steamstatic.com/steam/apps/268420/header.jpg?t=1667258603,http://aurakingdom.aeriagames.com/,7,Multiplayer,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,,
awesomenauts  the 2d moba,18,True,"Use your power, show your might! Play this Multiplayer Online Battle Arena (MOBA) game for FREE now! AWESOMENAUTS combines 2D platforming with team-based strategy and hero based action. Whether you are a new recruit or an intergalactic legend, play AWESOMENAUTS!","English, German, French, Italian, Spanish - Spain, Dutch, Portuguese - Brazil, Russian, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/204300/header.jpg?t=1575970562,http://www.awesomenauts.com/,7,Multiplayer,Action,Free to Play,Indie,Strategy,,,
axel  air xenodawn,18,True,"Combining the very best of sci-fi and aerial dogfighting gameplay, AX:EL delivers a totally new gaming experience. Create your very own shape-shifting vehicle and dominate both the sky and the ocean.",English,https://cdn.akamai.steamstatic.com/steam/apps/319830/header.jpg?t=1518201490,,7,Multiplayer,Action,Indie,Simulation,,,,
back 4 blood,18,False,"Back 4 Blood is a thrilling cooperative first-person shooter from the creators of the critically acclaimed Left 4 Dead franchise. Experience the intense 4 player co-op narrative campaign, competitive multiplayer as human or Ridden, and frenetic gameplay that keeps you in the action.","English, French, German, Italian, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/924970/header.jpg?t=1672856194,https://back4blood.com/,7,Multiplayer,Action,,,,,,
back to bed,10,False,"Guide Bob the sleepwalker to the safety of his bed by taking control of his subconscious guardian, Subob. Explore a surreal and hand-painted dream world, avoid dangers and get Bob safely back to bed.","English, French, German, Italian, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/308040/header.jpg?t=1683191893,http://www.bedtime.io,8,Singleplayer,Action,Casual,Indie,,,,
bacteria,15,False,'Bacteria' - A relaxing puzzle game based on the rules of the cellular automaton ‘Life’ devised by John Horton Conway in 1970.,English,https://cdn.akamai.steamstatic.com/steam/apps/448470/header.jpg?t=1573399650,,7,Singleplayer,Casual,Indie,,,,,
